Tipo de Bilhete,Preço,Ticket Category,Festival
"PASSE DE 3 DIAS (11, 12 E 13 DE JULHO)",204.02,All Days Pass,NOS Alive
PASSE DE 2 DIAS (11 E 12 DE JULHO),169.66,Two Days Pass,NOS Alive
PASSE DE 2 DIAS (12 E 13 DE JULHO),169.66,Two Days Pass,NOS Alive
ABONO 2 DÍAS (11 Y 13 DE JULIO),169.66,Two Days Pass,NOS Alive
ENTRADA JUEVES 11 JULIO,84.83,Daily,NOS Alive
ENTRADA SEXTA-FEIRA 12 DE JULHO,84.83,Daily,NOS Alive
ENTRADA SABADO 13 DE JULHO,84.83,Daily,NOS Alive
BILHETE DIÁRIO 15 DE JUNHO 2024,84.0,Daily,Rock in Rio
BILHETE DIÁRIO 16 DE JUNHO 2024,84.0,Daily,Rock in Rio
BILHETE DIÁRIO 22 DE JUNHO 2024,84.0,Daily,Rock in Rio
BILHETE DIÁRIO 23 DE JUNHO 2024,84.0,Daily,Rock in Rio
PASSE DE FIM DE SEMANA 15/16 DE JUNHO 2024,147.0,Two Days Pass,Rock in Rio
PASSE DE FIM DE SEMANA 22/23 DE JUNHO 2024,147.0,Two Days Pass,Rock in Rio
BILHETE DIÁRIO VIP 15 DE JUNHO 2024,360.0,Other,Rock in Rio
BILHETE DIÁRIO VIP 16 DE JUNHO 2024,360.0,Other,Rock in Rio
BILHETE DIÁRIO VIP 22 DE JUNHO 2024,360.0,Other,Rock in Rio
BILHETE DIÁRIO VIP 23 DE JUNHO 2024,360.0,Other,Rock in Rio
All Days Pass,294.0,All Days Pass,Rock in Rio
Fã Pack FNAC,119.0,Other,Super Bock Super Rock
Bilhete Diário,72.0,Daily,Super Bock Super Rock
Bilhete Diário,72.0,Daily,Super Bock Super Rock
Bilhete Diário,72.0,Daily,Super Bock Super Rock
Bilhete Diário,72.0,Daily,Super Bock Super Rock
Passe Sem Camping,154.0,All Days Pass,Super Bock Super Rock
Passe Com Camping,164.0,Other,Super Bock Super Rock
Golden Circle Diário,154.0,Other,Super Bock Super Rock
Golden Circle Diário,154.0,Other,Super Bock Super Rock
Golden Circle Diário,154.0,Other,Super Bock Super Rock
Golden Circle Diário,154.0,Other,Super Bock Super Rock
Golden Circle Passe Com Camping,279.0,Other,Super Bock Super Rock
Golden Circle Passe Com Camping,279.0,Other,Super Bock Super Rock
Golden Circle Passe Com Camping,279.0,Other,Super Bock Super Rock
Golden Circle Passe Com Camping,279.0,Other,Super Bock Super Rock
Noite Camping,14.0,Other,Super Bock Super Rock
Noite Camping,14.0,Other,Super Bock Super Rock
Noite Camping,14.0,Other,Super Bock Super Rock
Noite Camping,14.0,Other,Super Bock Super Rock
Two Days Pass,144.0,Two Days Pass,Super Bock Super Rock
PASS WITH CAMPING,139.0,Other,MEO Sudoeste
PASS WITHOUT CAMPING,129.0,All Days Pass,MEO Sudoeste
GOLDEN CIRCLE PASS,249.0,Other,MEO Sudoeste
VIP PASS,300.0,Other,MEO Sudoeste
PACK SUDAS,499.0,Other,MEO Sudoeste
PACK SW + SSF,179.0,Other,MEO Sudoeste
CAMPING UPGRADE,40.0,Other,MEO Sudoeste
UPGRADE EXCLUSIVE CAMPING,99.0,Other,MEO Sudoeste
UPGRADE CAR CAMPING (1 CAR + 5 PAX),100.0,Other,MEO Sudoeste
UPGRADE PARK & TENT - 7th AUGUST UPGRADE PARK & TENT - 7th AUGUST,60.0,Other,MEO Sudoeste
UPGRADE PARK & TENT - 8th AUGUST UPGRADE PARK & TENT - 8th AUGUST,60.0,Other,MEO Sudoeste
UPGRADE PARK & TENT - 9th AUGUST UPGRADE PARK & TENT - 9th AUGUST,60.0,Other,MEO Sudoeste
UPGRADE PARK & TENT - 10th AUGUST UPGRADE PARK & TENT - 10th AUGUST,60.0,Other,MEO Sudoeste
07 AUGUST 16:00,69.0,Daily,MEO Sudoeste
08 AUGUST 16:00,69.0,Daily,MEO Sudoeste
09 AUGUST 16:00,69.0,Daily,MEO Sudoeste
10 AUGUST 16:00,69.0,Daily,MEO Sudoeste
Two Days Pass,138.0,Two Days Pass,MEO Sudoeste
Full Festival Ticket 2024,130.97,All Days Pass,Vodafone Paredes de Coura
Wednesday 14th August,65.49,Daily,Vodafone Paredes de Coura
Thursday 15th August,65.49,Daily,Vodafone Paredes de Coura
Friday 16th August,65.49,Daily,Vodafone Paredes de Coura
Saturday 17th August,65.49,Daily,Vodafone Paredes de Coura
Two Days Pass,130.98,Two Days Pass,Vodafone Paredes de Coura
