Tipo de Bilhete,Preço,Ticket Category
BILHETE DIÁRIO 15 DE JUNHO 2024,84.0,Daily
BILHETE DIÁRIO 16 DE JUNHO 2024,84.0,Daily
BILHETE DIÁRIO 22 DE JUNHO 2024,84.0,Daily
BILHETE DIÁRIO 23 DE JUNHO 2024,84.0,Daily
PASSE DE FIM DE SEMANA 15/16 DE JUNHO 2024,147.0,Two Days Pass
PASSE DE FIM DE SEMANA 22/23 DE JUNHO 2024,147.0,Two Days Pass
BILHETE DIÁRIO VIP 15 DE JUNHO 2024,360.0,Other
BILHETE DIÁRIO VIP 16 DE JUNHO 2024,360.0,Other
BILHETE DIÁRIO VIP 22 DE JUNHO 2024,360.0,Other
BILHETE DIÁRIO VIP 23 DE JUNHO 2024,360.0,Other
All Days Pass,294.0,All Days Pass
